category	path	limit	actual	reason	target_version	owner
model-reducer	Sources/AnnualMeetingSwitcher/Sources/AnnualMeetingSwitcher/Runtime/LiveRuntimeState.swift	400	561	central runtime state model; split planned separately	v0.5.1	maintainers
model-reducer	Sources/AnnualMeetingSwitcher/Sources/AnnualMeetingSwitcher/ViewModel+BGMRuntimePlayback.swift	400	581	legacy BGM playback facade wiring; split planned separately	v0.5.1	maintainers
model-reducer	Sources/AnnualMeetingSwitcher/Sources/AnnualMeetingSwitcher/ViewModel+Overlay.swift	400	449	legacy overlay facade wiring; split planned separately	v0.5.1	maintainers
model-reducer	Sources/AnnualMeetingSwitcher/Sources/AnnualMeetingSwitcher/ViewModel.swift	400	667	legacy root view model shell; split planned separately	v0.5.1	maintainers
test-file	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/AudioRuntimeOwnershipTests.swift	500	503	legacy runtime ownership matrix; split planned separately	v0.5.1	maintainers
test-file	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/BGMRuntimeReducerBehaviorTests.swift	500	708	central BGM reducer behavior matrix; split planned separately	v0.5.1	maintainers
test-file	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/LivePreflightTests.swift	500	849	broad preflight behavior suite; split planned separately	v0.5.1	maintainers
test-file	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/PersistentStateRuntimeLoadBoundaryTests.swift	500	552	legacy persistence load boundary matrix; split planned separately	v0.5.1	maintainers
test-file	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/SwitcherViewModelSmokeTests.swift	500	3383	legacy integration smoke suite; split planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/AppLaunchPolicyTests.swift	15	26	legacy launch source-contract coverage; replacement planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/AudioRuntimeReducerExtractionTests.swift	15	32	runtime reducer extraction contract; replacement planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/BGMPlaylistPanelStaticTests.swift	15	18	legacy static BGM panel coverage; replacement planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/BGMRuntimeReducerExtractionTests.swift	15	21	runtime reducer extraction contract; replacement planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/LiveBGMChooserViewTests.swift	15	19	legacy live chooser static coverage; replacement planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/LiveModeLayoutTests.swift	15	84	legacy live layout source-contract coverage; replacement in progress	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/LiveModeMixerControlsTests.swift	15	32	legacy mixer source-contract coverage; replacement planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/MediaRuntimeReducerExtractionTests.swift	15	28	runtime reducer extraction contract; replacement planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/OverlayLivePreviewModelTests.swift	15	42	legacy overlay static coverage; replacement planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/PersistentStateRuntimeLoadBoundaryTests.swift	15	16	legacy persistence source-contract coverage; replacement planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/PreferencesRuntimeReducerExtractionTests.swift	15	16	runtime reducer extraction contract; replacement planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/PresentationQueryRuntimeReducerExtractionTests.swift	15	19	runtime reducer extraction contract; replacement planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/ProgramActivationSideEffectBoundaryTests.swift	15	16	side-effect boundary contract; replacement planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/ProgramActivationSideEffectWiringTests.swift	15	24	side-effect wiring contract; replacement planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/RunDeskControlConvergenceTests.swift	15	40	legacy run-desk convergence coverage; replacement planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/RuntimeEffectInfrastructureSplitTests.swift	15	36	runtime effect split contract; replacement planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/VideoLayerVisibilityTests.swift	15	18	legacy video-layer source-contract coverage; replacement planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/ViewModelActionHandlerWiringTests.swift	15	17	legacy action-handler wiring contract; replacement planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/ViewModelEncapsulationTests.swift	15	49	legacy view-model encapsulation contract; replacement planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/ViewModelLiveOutputEncapsulationTests.swift	15	25	legacy live-output source-contract coverage; replacement planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/ViewModelMainHygieneTests.swift	15	16	legacy view-model hygiene contract; replacement planned separately	v0.5.1	maintainers
source-contains	Sources/AnnualMeetingSwitcher/Tests/AnnualMeetingSwitcherTests/ViewModelPersistenceFacadeTests.swift	15	29	legacy persistence facade contract; replacement planned separately	v0.5.1	maintainers
